dataset_id	movie_name	entity_url	entity_id
781	Stealing Beauty (1996)	http://dbpedia.org/resource/Stealing_Beauty	5474
1799	Suicide Kings (1997)	http://dbpedia.org/resource/Suicide_Kings	9337
521	Romeo Is Bleeding (1993)	http://dbpedia.org/resource/Romeo_Is_Bleeding	8520
3596	Screwed (2000)	http://dbpedia.org/resource/Screwed_(2000_film)	4713
3682	Magnum Force (1973)	http://dbpedia.org/resource/Magnum_Force	14676
2635	Mummy's Curse, The (1944)	http://dbpedia.org/resource/The_Mummy's_Curse	10117
1590	Event Horizon (1997)	http://dbpedia.org/resource/Event_Horizon_(film)	13330
116	Anne Frank Remembered (1995)	http://dbpedia.org/resource/Anne_Frank_Remembered	11270
3719	Love's Labour's Lost (2000)	http://dbpedia.org/resource/Love's_Labour's_Lost_(2000_film)	2503
3811	Breaker Morant (1980)	http://dbpedia.org/resource/Breaker_Morant_(film)	11520
3801	Anatomy of a Murder (1959)	http://dbpedia.org/resource/Anatomy_of_a_Murder	14123
2173	Navigator: A Mediaeval Odyssey, The (1988)	http://dbpedia.org/resource/The_Navigator:_A_Medieval_Odyssey	293
2908	Boys Don't Cry (1999)	http://dbpedia.org/resource/Boys_Don't_Cry_(film)	13989
2816	Iron Eagle II (1988)	http://dbpedia.org/resource/Iron_Eagle_II	4797
2243	Broadcast News (1987)	http://dbpedia.org/resource/Broadcast_News_(film)	12684
3553	Gossip (2000)	http://dbpedia.org/resource/Gossip_(2000_American_film)	6635
3344	Blood Feast (1963)	http://dbpedia.org/resource/Blood_Feast_(1972_film)	7500
2095	Shaggy D.A., The (1976)	http://dbpedia.org/resource/The_Shaggy_D.A.	3020
2	Jumanji (1995)	http://dbpedia.org/resource/Jumanji	9466
2950	Blue Lagoon, The (1980)	http://dbpedia.org/resource/Blue_Lagoon:_The_Awakening	12276
785	Kingpin (1996)	http://dbpedia.org/resource/Kingpin	5945
3861	Replacements, The (2000)	http://dbpedia.org/resource/The_Replacements_(film)	12283
3942	Sorority House Massacre II (1990)	http://dbpedia.org/resource/Sorority_House_Massacre_II	6732
2005	Goonies, The (1985)	http://dbpedia.org/resource/The_Goonies	7065
2636	Mummy's Ghost, The (1944)	http://dbpedia.org/resource/The_Mummy's_Ghost	10881
392	Secret Adventures of Tom Thumb, The (1993)	http://dbpedia.org/resource/The_Secret_Adventures_of_Tom_Thumb	4337
117	Young Poisoner's Handbook, The (1995)	http://dbpedia.org/resource/The_Young_Poisoner's_Handbook	5496
162	Crumb (1994)	http://dbpedia.org/resource/Crumb_(film)	6029
2263	Seventh Sign, The (1988)	http://dbpedia.org/resource/The_Seventh_Sign	5554
3802	Freejack (1992)	http://dbpedia.org/resource/Freejack	3013
2682	Limbo (1999)	http://dbpedia.org/resource/Limbo_(1999_film)	3659
1727	Horse Whisperer, The (1998)	http://dbpedia.org/resource/The_Horse_Whisperer_(film)	3805
2244	Allnighter, The (1987)	http://dbpedia.org/resource/The_Allnighter_(film)	5162
3218	Poison (1991)	http://dbpedia.org/resource/Poison_(film)	1228
3812	Everything You Always Wanted to Know About Sex (1972)	http://dbpedia.org/resource/Everything_You_Always_Wanted_to_Know_About_Sex*_(*But_Were_Afraid_to_Ask)	4527
3943	Bamboozled (2000)	http://dbpedia.org/resource/Bamboozled	4330
692	Solo (1996)	http://dbpedia.org/resource/Solo_(1996_film)	1904
2521	Airport 1975 (1974)	http://dbpedia.org/resource/Airport_1975	11739
3548	Auntie Mame (1958)	http://dbpedia.org/resource/Auntie_Mame_(film)	1165
934	Father of the Bride (1950)	http://dbpedia.org/resource/Father_of_the_Bride_(1950_film)	5653
3	Grumpier Old Men (1995)	http://dbpedia.org/resource/Grumpier_Old_Men	4013
2245	Working Girl (1988)	http://dbpedia.org/resource/Working_Girl	3300
3094	Maurice (1987)	http://dbpedia.org/resource/Maurice_(film)	1651
2174	Beetlejuice (1988)	http://dbpedia.org/resource/Beetlejuice	9895
1445	McHale's Navy (1997)	http://dbpedia.org/resource/McHale's_Navy_(1997_film)	6099
1707	Home Alone 3 (1997)	http://dbpedia.org/resource/Home_Alone_3	8514
1921	Pi (1998)	http://dbpedia.org/resource/Pi_(film)	6644
522	Romper Stomper (1992)	http://dbpedia.org/resource/Romper_Stomper	13112
2000	Lethal Weapon (1987)	http://dbpedia.org/resource/Lethal_Weapon	837
3345	Charlie, the Lonesome Cougar (1967)	http://dbpedia.org/resource/Charlie,_the_Lonesome_Cougar	10147
2134	Weird Science (1985)	http://dbpedia.org/resource/Weird_Science_(film)	4760
3549	Guys and Dolls (1955)	http://dbpedia.org/resource/Guys_and_Dolls_(film)	10236
552	Three Musketeers, The (1993)	http://dbpedia.org/resource/The_Three_Musketeers_(1993_film)	5271
1728	Winter Guest, The (1997)	http://dbpedia.org/resource/The_Winter_Guest	3411
3944	Bootmen (2000)	http://dbpedia.org/resource/Bootmen	11467
2951	Fistful of Dollars, A (1964)	http://dbpedia.org/resource/A_Fistful_of_Dollars	5042
1178	Paths of Glory (1957)	http://dbpedia.org/resource/Paths_of_Glory	2082
2763	Thomas Crown Affair, The (1999)	http://dbpedia.org/resource/The_Thomas_Crown_Affair_(1999_film)	10178
2817	Aces: Iron Eagle III (1992)	http://dbpedia.org/resource/Aces:_Iron_Eagle_III	4742
3813	Interiors (1978)	http://dbpedia.org/resource/Interiors	7571
118	If Lucy Fell (1996)	http://dbpedia.org/resource/If_Lucy_Fell	5738
3862	About Adam (2000)	http://dbpedia.org/resource/About_Adam	3766
2522	Airport '77 (1977)	http://dbpedia.org/resource/Airport_'77	6084
2683	Austin Powers: The Spy Who Shagged Me (1999)	http://dbpedia.org/resource/Austin_Powers:_The_Spy_Who_Shagged_Me	3074
3037	Little Big Man (1970)	http://dbpedia.org/resource/Little_Big_Man_(film)	10957
517	Rising Sun (1993)	http://dbpedia.org/resource/Rising_Sun_(film)	1118
1483	Crash (1996)	http://dbpedia.org/resource/Crash_(1996_film)	12044
1446	Kolya (1996)	http://dbpedia.org/resource/Kolya	10271
2520	Airport (1970)	http://dbpedia.org/resource/Airport_(1970_film)	4136
3462	Modern Times (1936)	http://dbpedia.org/resource/Modern_Times_(film)	10218
523	Ruby in Paradise (1993)	http://dbpedia.org/resource/Ruby_in_Paradise	598
2247	Married to the Mob (1988)	http://dbpedia.org/resource/Married_to_the_Mob	12339
2024	Rapture, The (1991)	http://dbpedia.org/resource/Rapture_(1965_film)	10756
3683	Blood Simple (1984)	http://dbpedia.org/resource/Blood_Simple	8920
119	Steal Big, Steal Little (1995)	http://dbpedia.org/resource/Steal_Big_Steal_Little	9472
2310	Mighty, The (1998)	http://dbpedia.org/resource/The_Mighty	14393
1729	Jackie Brown (1997)	http://dbpedia.org/resource/Jackie_Brown_(film)	14201
388	Boys Life (1995)	http://dbpedia.org/resource/Boys_Life_(film)	12989
2555	Baby Geniuses (1999)	http://dbpedia.org/resource/Baby_Geniuses	13570
3424	Do the Right Thing (1989)	http://dbpedia.org/resource/Do_the_Right_Thing	7402
1623	Wishmaster (1997)	http://dbpedia.org/resource/Wishmaster_(film)	10022
3945	Digimon: The Movie (2000)	http://dbpedia.org/resource/Digimon:_The_Movie	11106
3038	Face in the Crowd, A (1957)	http://dbpedia.org/resource/A_Face_in_the_Crowd_(film)	13889
3219	Pacific Heights (1990)	http://dbpedia.org/resource/Pacific_Heights_(film)	13671
3555	U-571 (2000)	http://dbpedia.org/resource/U-571_(film)	764
3346	Color Me Blood Red (1965)	http://dbpedia.org/resource/Color_Me_Blood_Red	7878
251	Hunted, The (1995)	http://dbpedia.org/resource/Hunted_(film)	2423
1876	Deep Impact (1998)	http://dbpedia.org/resource/Deep_Impact_(film)	8552
2248	Say Anything... (1989)	http://dbpedia.org/resource/Say_Anything...	13729
2779	Heaven Can Wait (1978)	http://dbpedia.org/resource/Heaven_Can_Wait_(1978_film)	12004
1350	Omen, The (1976)	http://dbpedia.org/resource/The_Omen	11280
3166	Brenda Starr (1989)	http://dbpedia.org/resource/Brenda_Starr_(film)	8315
935	Band Wagon, The (1953)	http://dbpedia.org/resource/The_Band_Wagon	7233
2001	Lethal Weapon 2 (1989)	http://dbpedia.org/resource/Lethal_Weapon_2	9219
